新加坡,#genre#
Skynews,http://45.207.205.213:19890/trams/2220/playlist.m3u8?token=abcdsoooyu888
越南,#genre#
ANTV,http://45.207.205.213:19890/trams/2751/playlist.m3u8?token=abcdsoooyu888
VTV 1,http://45.207.205.213:19890/trams/2752/playlist.m3u8?token=abcdsoooyu888
VTV 3,http://45.207.205.213:19890/trams/2753/playlist.m3u8?token=abcdsoooyu888
VTV 4,http://45.207.205.213:19890/trams/2872/playlist.m3u8?token=abcdsoooyu888
VTV 6,http://45.207.205.213:19890/trams/2873/playlist.m3u8?token=abcdsoooyu888
HTV 7,http://45.207.205.213:19890/trams/2754/playlist.m3u8?token=abcdsoooyu888
HTV 9,http://45.207.205.213:19890/trams/2755/playlist.m3u8?token=abcdsoooyu888
THVL HD,http://45.207.205.213:19890/trams/2874/playlist.m3u8?token=abcdsoooyu888
TBKTV,http://45.207.205.213:19890/trams/2875/playlist.m3u8?token=abcdsoooyu888
BTV HD,http://45.207.205.213:19890/trams/2876/playlist.m3u8?token=abcdsoooyu888
CTV HD,http://45.207.205.213:19890/trams/2877/playlist.m3u8?token=abcdsoooyu888
韩国,#genre#
Arirang HD,http://45.207.205.213:19890/trams/2421/playlist.m3u8?token=abcdsoooyu888
Yonhap News,http://45.207.205.213:19890/trams/2416/playlist.m3u8?token=abcdsoooyu888
CBS,http://45.207.205.213:19890/trams/1975/playlist.m3u8?token=abcdsoooyu888
EBS 1,http://45.207.205.213:19890/trams/2419/playlist.m3u8?token=abcdsoooyu888
EBS2,http://45.207.205.213:19890/trams/1976/playlist.m3u8?token=abcdsoooyu888
EBS Plus2,http://45.207.205.213:19890/trams/1977/playlist.m3u8?token=abcdsoooyu888
SBS Plus,http://45.207.205.213:19890/trams/1978/playlist.m3u8?token=abcdsoooyu888
YTN,http://45.207.205.213:19890/trams/2410/playlist.m3u8?token=abcdsoooyu888
KBS World 24,http://45.207.205.213:19890/trams/2411/playlist.m3u8?token=abcdsoooyu888
YTN Science,http://45.207.205.213:19890/trams/2412/playlist.m3u8?token=abcdsoooyu888
YTN Korean,http://45.207.205.213:19890/trams/2413/playlist.m3u8?token=abcdsoooyu888
YTN DMB,http://45.207.205.213:19890/trams/2414/playlist.m3u8?token=abcdsoooyu888
Apps TV,http://45.207.205.213:19890/trams/2415/playlist.m3u8?token=abcdsoooyu888
All the Kpop,http://45.207.205.213:19890/trams/2417/playlist.m3u8?token=abcdsoooyu888
J the Kpop,http://45.207.205.213:19890/trams/2418/playlist.m3u8?token=abcdsoooyu888
EBS Kids,http://45.207.205.213:19890/trams/2420/playlist.m3u8?token=abcdsoooyu888
CGNTV,http://45.207.205.213:19890/trams/2422/playlist.m3u8?token=abcdsoooyu888
日本,#genre#
NHK-総合-2,http://45.207.205.213:19890/trams/1397/playlist.m3u8?token=abcdsoooyu888
NHK-E,http://45.207.205.213:19890/trams/1398/playlist.m3u8?token=abcdsoooyu888
テレビ朝日 Asahi TV,http://45.207.205.213:19890/trams/1400/playlist.m3u8?token=abcdsoooyu888
JET 綜合,http://45.207.205.213:19890/trams/1394/playlist.m3u8?token=abcdsoooyu888
テレビ東京 Tokyo TV,http://45.207.205.213:19890/trams/1402/playlist.m3u8?token=abcdsoooyu888
TOKYOMX,http://45.207.205.213:19890/trams/1404/playlist.m3u8?token=abcdsoooyu888
NHKBS1,http://45.207.205.213:19890/trams/1412/playlist.m3u8?token=abcdsoooyu888
NHKBSプレミア Premium,http://45.207.205.213:19890/trams/1413/playlist.m3u8?token=abcdsoooyu888
BSジャパン 181,http://45.207.205.213:19890/trams/1417/playlist.m3u8?token=abcdsoooyu888
BSフジ BS Fuji,http://45.207.205.213:19890/trams/1418/playlist.m3u8?token=abcdsoooyu888
CNA Japan,http://45.207.205.213:19890/trams/1439/playlist.m3u8?token=abcdsoooyu888
BS-TBS,http://45.207.205.213:19890/trams/2075/playlist.m3u8?token=abcdsoooyu888
NHK Oaska,http://45.207.205.213:19890/trams/2076/playlist.m3u8?token=abcdsoooyu888
NHK World,http://45.207.205.213:19890/trams/2392/playlist.m3u8?token=abcdsoooyu888
